k,wcss,silhouette,calinski_harabasz
1,19.99985611331108,NA,NA
2,19.001317174860183,0.8114928398660616,49.713281825763644
3,18.157864292269796,0.13766088432949833,47.931911012933924
4,17.44889859648038,0.09802735310594783,46.00297802127788
5,16.50917269017555,0.061658842943006005,49.84675080017292
6,15.852512253855238,0.12221350835333146,49.28932213450637
7,14.967350997601052,0.10868219474368206,52.73241420210952
8,14.24193593256516,0.11679985860754853,54.29082309685197
9,13.431123973103446,0.12352716029993696,57.404349516901945
10,13.03810148535458,0.14801431709251459,55.649937892145026
11,12.292801788629788,0.15122597017515993,58.74584188696426
12,11.881834918946126,0.14364037400229593,58.136626889700146
13,10.95905827469396,0.16359971331588702,64.2782266446085
14,10.389133908650608,0.1843422613985089,66.46304034196126
15,9.887771977037978,0.19238364867690788,68.1547046266004
16,9.519064442600872,0.1948217818438879,68.4107693986294
17,9.186582070558867,0.18759148955112465,68.49091191152523
18,8.869010834913636,0.20105280235003054,68.65734224742673
19,8.67315644334656,0.19052063423764612,67.40147707553184
20,8.44506746809889,0.1797488925286395,66.8271988867889
