sigma_label,sigma,mean_affinity,median_affinity,pct_above_0.5,pct_above_0.1,pct_above_0.01
σ = 35.10 (0.5x) [0.082-0.445](width 0.364),35.09990315649419,0.1392729613796256,0.13533528323661276,0,99.90309170866027,100
σ = 70.20 (1.0x) [0.535-0.817](width 0.282),70.19980631298839,0.6099342820250708,0.6065306597126334,100,100,100
σ = 140.40 (2.0x) [0.855-0.951](width 0.096),140.39961262597677,0.8836503704724448,0.8824969025845955,100,100,100
σ = 210.60 (3.0x) [0.933-0.978](width 0.045),210.59941893896516,0.9465016556806515,0.9459594689067654,100,100,100
σ = 280.80 (4.0x) [0.962-0.987](width 0.026),280.79922525195354,0.9695442445428155,0.9692332344763441,100,100,100
σ = 351.00 (5.0x) [0.975-0.992](width 0.017),350.9990315649419,0.9803995308397306,0.9801986733067554,100,100,100
